file_name,file_path,cloc
AGFilterSheet.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGFilterSheet.kt,13
AGInput.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGInput.kt,0
AGLabelChip.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGLabelChip.kt,0
AGLandCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGLandCard.kt,0
AGLandDetailCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGLandDetailCard.kt,0
AGMessageDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGMessageDialog.kt,0
AGNavbar.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGNavbar.kt,0
AGNewsCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGNewsCard.kt,0
AGNotificationCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGNotificationCard.kt,1
AGPermissionDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGPermissionDialog.kt,0
AGTab.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGTab.kt,0
AGTextOverview.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGTextOverview.kt,0
AGTopAppBar.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGTopAppBar.kt,0
AGWeatherDayCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGWeatherDayCard.kt,1
AGWeatherHourCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGWeatherHourCard.kt,0
AGWeatherInfo.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGWeatherInfo.kt,0
AGWeatherInformation.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\AGWeatherInformation.kt,0
AGCapitalCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\card\AGCapitalCard.kt,0
AGDiscussionCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\card\AGDiscussionCard.kt,0
AGBubbleMessage.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\chat\AGBubbleMessage.kt,0
AGChatCard.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\chat\AGChatCard.kt,1
AGChatInputText.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\chat\AGChatInputText.kt,0
AGDeleteConfirmDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\dialog\AGDeleteConfirmDialog.kt,0
AGFailedHarvestConfirmDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\dialog\AGFailedHarvestConfirmDialog.kt,0
AGMessageDialogContent.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\dialog\AGMessageDialogContent.kt,0
AGSuccessHarvestConfirmDialog.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\dialog\AGSuccessHarvestConfirmDialog.kt,0
CharacterStyle.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\htmltext\CharacterStyle.kt,0
HtmlText.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\htmltext\HtmlText.kt,0
MetricAffectingSpan.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\htmltext\MetricAffectingSpan.kt,0
AGMaps.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\maps\AGMaps.kt,0
AGMapsCrosshair.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\maps\AGMapsCrosshair.kt,0
AGMapsMarkerController.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\maps\AGMapsMarkerController.kt,0
AGMapsPolygonDefault.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\maps\AGMapsPolygonDefault.kt,0
AGMapsPolygonMarker.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\maps\AGMapsPolygonMarker.kt,0
ExploreMenuModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\model\ExploreMenuModel.kt,0
FeatureCardModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\model\FeatureCardModel.kt,0
NavbarMenuModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\model\NavbarMenuModel.kt,0
ShimmerBrush.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\shimmer\ShimmerBrush.kt,0
NumberTransformation.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\components\visualtransformation\NumberTransformation.kt,0
Effect.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\effect\Effect.kt,0
AgrimateDestinations.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\AgrimateDestinations.kt,15
AgrimateNavGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\AgrimateNavGraph.kt,0
FarmerGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\farmer\FarmerGraph.kt,0
FarmerLandGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\farmer\land\FarmerLandGraph.kt,0
FarmerMainGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\farmer\main\FarmerMainGraph.kt,0
FarmerOtherGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\farmer\other\FarmerOtherGraph.kt,28
AuthGraph.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\navigation\shared\AuthGraph.kt,9
